region_id,Zoning
8b2a8a89275dfff,3
8b2a8ac6199afff,3
8b2a8a893475fff,6
8b2a8ac6062efff,2
8b2a8ac62a5dfff,15
8b2a8ac64969fff,2
8b2a8ac64d0bfff,2
8b2a8a892c03fff,10
8b2a8ad4b194fff,0
8b2a8ac61b66fff,3
8b2a8ad4a948fff,2
8b2a8ac6295bfff,15
8b2a8ac62b8cfff,15
8b2a8ac6422afff,0
8b2a8ac6115cfff,3
8b2a8ac65135fff,4
8b2a8a89291efff,0
8b2a8ac62069fff,2
8b2a8ac6cd98fff,15
8b2a8ac6200cfff,15
8b2a8ad4b3b5fff,0
8b2a8ac62ae1fff,15
8b2a8ac61373fff,15
8b2a8ac62833fff,15
8b2a8ad4a39bfff,0
8b2a8ac61071fff,15
8b2a8a89249bfff,3
8b2a8ac61152fff,3
8b2a8a896398fff,0
8b2a8ac63d42fff,2
8b2a8ac63d42fff,15
8b2a8ac602d5fff,2
8b2a8ac602d5fff,15
8b2a8a89210bfff,2
8b2a8a89210bfff,1
8b2a8a89210bfff,0
8b2a8ac60980fff,8
8b2a8ac61ae0fff,3
8b2a8ac60070fff,12
8b2a8ad4b4a1fff,2
8b2a8ac6188efff,3
8b2a8ac6104efff,15
8b2a8ac64491fff,15
8b2a8ad48581fff,15
8b2a8ac61919fff,3
8b2a8ad4a236fff,0
8b2a8ac6cdaafff,3
8b2a8ac6cdaafff,15
8b2a8ac64522fff,15
8b2a8ad59392fff,15
8b2a8ad486e1fff,2
8b2a8ac60b8dfff,5
8b2a8ac64143fff,10
8b2a8ac66c33fff,15
8b2a8ac65942fff,1
8b2a8ad4a262fff,9
8b2a8a892d2efff,0
8b2a8ac66761fff,15
8b2a8ac6168afff,15
8b2a8ac64cc8fff,15
8b2a8ac61886fff,3
8b2a8ac6cb2efff,6
8b2a8a896233fff,0
8b2a8ad4a254fff,9
8b2a8ad4a555fff,15
8b2a8ac6628dfff,15
8b2a8ad4a014fff,15
8b2a8ac6671afff,15
8b2a8ac66a32fff,2
8b2a8ac64520fff,15
8b2a8a896434fff,0
