region_id,Zoning
8a2a8a892d97fff,0
8a2a8a892d97fff,1
8a2a8ac63537fff,15
8a2a8ad4bab7fff,0
8a2a8ac66317fff,15
8a2a8ac63c87fff,15
8a2a8ad4ac17fff,15
8a2a8a89291ffff,0
8a2a8ac60397fff,15
8a2a8ad5b397fff,15
8a2a8ac6301ffff,2
8a2a8a892d6ffff,0
8a2a8ac64917fff,0
8a2a8ad4e6dffff,15
8a2a8ad5985ffff,2
8a2a8ac64737fff,2
8a2a8ac6cd07fff,3
8a2a8ac64427fff,15
8a2a8ad5965ffff,15
8a2a8ac65117fff,4
8a2a8ac65117fff,5
8a2a8a890687fff,1
8a2a8ac6156ffff,15
8a2a8ac6064ffff,2
8a2a8ad4a387fff,0
8a2a8ac6cb17fff,6
8a2a8ac6cb17fff,7
8a2a8ad4a197fff,15
8a2a8ac64aa7fff,0
8a2a8ac64aa7fff,8
8a2a8ad59a87fff,15
8a2a8ac65ae7fff,1
8a2a8ac65ae7fff,0
8a2a8ad485b7fff,15
8a2a8a8962cffff,2
8a2a8ac66577fff,15
8a2a8ac66577fff,9
8a2a8ac65b6ffff,0
8a2a8a8965affff,0
8a2a8ac63b27fff,15
8a2a8ac61567fff,15
8a2a8ac63b2ffff,15
8a2a8a8922b7fff,3
8a2a8a89669ffff,0
8a2a8ac63cd7fff,15
8a2a8ac614effff,15
8a2a8ac6c8affff,3
8a2a8ad5960ffff,15
8a2a8ac66057fff,15
8a2a8ad4b697fff,8
8a2a8ac64247fff,0
8a2a8ac6540ffff,5
8a2a8ac6c2a7fff,3
8a2a8ac65107fff,4
8a2a8ac62c07fff,15
8a2a8ac64a5ffff,2
8a2a8ac64a5ffff,1
8a2a8ac64a5ffff,10
8a2a8ad59327fff,15
8a2a8ad5b357fff,15
8a2a8ac61b5ffff,3
8a2a8ac6191ffff,3
8a2a8ac60b9ffff,5
8a2a8ad4b6e7fff,0
8a2a8ac62b5ffff,15
8a2a8ad4b31ffff,0
8a2a8ad4b31ffff,2
8a2a8ac60287fff,2
8a2a8ac60287fff,15
8a2a8ac65607fff,5
8a2a8ac6382ffff,2
8a2a8ac6382ffff,15
8a2a8ac62d67fff,15
8a2a8ad4b557fff,8
8a2a8ad4b557fff,1
8a2a8ad4b557fff,10
8a2a8ad4b557fff,2
8a2a8ad4b557fff,3
8a2a8ac61237fff,15
8a2a8ad5da5ffff,15
8a2a8a892497fff,3
8a2a8ac62c0ffff,15
8a2a8ad4a99ffff,15
8a2a8ad4a14ffff,0
8a2a8ac628b7fff,15
8a2a8ac6060ffff,2
8a2a8a89224ffff,6
8a2a8a89224ffff,15
8a2a8ac62017fff,15
8a2a8ac63877fff,2
8a2a8ac63877fff,15
8a2a8a89214ffff,11
8a2a8ac6c947fff,6
8a2a8ac6c947fff,7
8a2a8ac6c947fff,10
8a2a8ad4b44ffff,0
8a2a8ad4b44ffff,1
