region_id_left,Zoning
8c2a8a89216cbff,11
8c2a8a896d935ff,8
8c2a8a8924681ff,2
8c2a8a8924681ff,0
8c2a8a8924681ff,3
8c2a8ac608597ff,5
8c2a8ac669ae7ff,15
8c2a8a892224dff,0
8c2a8a892224dff,1
8c2a8ac606631ff,2
8c2a8ac6cd31dff,3
8c2a8ad484c47ff,2
8c2a8ac6592b5ff,0
8c2a8ad4a4d53ff,2
8c2a8ac648d2bff,2
8c2a8ac60c73dff,15
8c2a8ac615607ff,15
8c2a8ac62b067ff,15
8c2a8a8935061ff,15
8c2a8a8924339ff,3
8c2a8ad4a213bff,0
8c2a8ad4b330dff,0
8c2a8ad4bca1bff,2
8c2a8ad4bca1bff,10
8c2a8ac66baabff,2
8c2a8ac64b85dff,2
8c2a8ac66d489ff,15
8c2a8ad4a7721ff,15
8c2a8ad4bd005ff,2
8c2a8ac6554ddff,5
8c2a8ad4b2f21ff,0
8c2a8ac661231ff,15
8c2a8ac64ad55ff,0
8c2a8ac6030d3ff,15
8c2a8ac6478b5ff,15
8c2a8ad4accc7ff,15
8c2a8a89230b7ff,0
8c2a8a892d8e9ff,0
8c2a8a892d8e9ff,1
8c2a8a892d8e9ff,7
8c2a8a89205d7ff,1
8c2a8ac6625c1ff,15
8c2a8ad4b6043ff,0
8c2a8ad4a06c1ff,0
8c2a8ac6169e9ff,15
8c2a8ac63b551ff,15
8c2a8a892172bff,1
8c2a8ac630503ff,2
8c2a8a89664abff,0
8c2a8ac6599abff,1
8c2a8ad4a9823ff,15
8c2a8ac6212c9ff,15
8c2a8ad4a2a0dff,0
8c2a8a89270d3ff,3
8c2a8ad4aacedff,0
8c2a8a8962345ff,0
8c2a8ac6565d5ff,5
8c2a8ad4b2db3ff,1
8c2a8ad5b2b09ff,15
8c2a8ad4bca85ff,10
8c2a8ac6c84b9ff,6
8c2a8ac616323ff,15
8c2a8ac6145e3ff,15
8c2a8ad4845d5ff,0
8c2a8ad4b6249ff,0
8c2a8ac612639ff,15
8c2a8ac65a1e1ff,0
8c2a8ad5bb4b7ff,15
8c2a8ac618283ff,3
8c2a8ac608829ff,15
8c2a8a8920431ff,8
8c2a8a892a107ff,0
8c2a8ad59ae39ff,15
8c2a8ac666f15ff,15
8c2a8ac60d5dbff,16
8c2a8ac635337ff,15
8c2a8ad59a219ff,2
8c2a8ac6665d9ff,15
8c2a8ac61416dff,15
8c2a8ac6065ebff,2
8c2a8ad4b19a7ff,0
8c2a8ad5b38bbff,15
8c2a8ad4a0e91ff,0
8c2a8ac60682dff,15
8c2a8ac60c729ff,15
8c2a8ac631359ff,2
8c2a8ac666839ff,15
8c2a8ac60c12dff,15
8c2a8ac609581ff,5
8c2a8ac6175d5ff,15
8c2a8ac6cd4b9ff,3
8c2a8ac6172c5ff,15
8c2a8ac6c0239ff,15
8c2a8ac60530bff,15
8c2a8ac6495adff,2
8c2a8ac6641e7ff,15
8c2a8ac64c5b1ff,15
8c2a8a89251d3ff,0
8c2a8ac61a72bff,3
8c2a8a8921191ff,10
8c2a8ac633241ff,15
8c2a8ac6c8e1dff,7
8c2a8ac657049ff,5
8c2a8a892599dff,0
8c2a8a892454dff,0
8c2a8ad4a98a5ff,15
8c2a8ad59a047ff,2
8c2a8ac62015bff,15
8c2a8ac62d2b7ff,15
8c2a8ac604c03ff,15
8c2a8ac654637ff,5
8c2a8ac621709ff,15
8c2a8ac6050c1ff,15
8c2a8ac659009ff,1
8c2a8ac667699ff,15
8c2a8ac63cd15ff,15
8c2a8ac658f1bff,1
8c2a8ad4b7ab9ff,0
8c2a8ad486961ff,1
8c2a8ad4b4353ff,10
8c2a8ad4b4353ff,2
8c2a8ac6048cbff,15
8c2a8ac644debff,15
8c2a8ac642497ff,5
8c2a8ac65a5a1ff,1
8c2a8ad4a4c9dff,2
8c2a8ac6586b5ff,1
8c2a8ad4b26cbff,0
8c2a8ac609563ff,5
8c2a8ac63875bff,15
8c2a8ac66220bff,15
8c2a8ad59a511ff,15
8c2a8ac66a1e3ff,15
8c2a8ad592db7ff,15
8c2a8ac65d745ff,0
8c2a8ac60ada7ff,5
8c2a8ac600b13ff,2
8c2a8a8921addff,10
8c2a8ac60004bff,12
8c2a8ac654b2bff,5
8c2a8ad5b3843ff,15
8c2a8ac6031b1ff,15
8c2a8ad59282bff,15
8c2a8ac608647ff,5
8c2a8ac610087ff,15
8c2a8ac614081ff,15
8c2a8ac600941ff,15
8c2a8a8925025ff,0
8c2a8ac61af0bff,3
8c2a8ac6c0a25ff,15
8c2a8ad4e66ebff,15
8c2a8ac668045ff,15
8c2a8ac617665ff,15
8c2a8a8936987ff,6
8c2a8a8936987ff,7
8c2a8ac6488c5ff,2
8c2a8ac65d2d3ff,0
8c2a8ac66835bff,15
8c2a8ac61c641ff,3
8c2a8ad4a0701ff,0
8c2a8ad593725ff,15
8c2a8ac60619dff,2
8c2a8ad5b250bff,15
8c2a8ac650ee1ff,5
8c2a8ad485557ff,2
8c2a8ac6cce55ff,15
8c2a8ac6310cdff,15
8c2a8a8923669ff,1
8c2a8ac63931bff,2
8c2a8ac6408b1ff,2
8c2a8ac60b913ff,5
8c2a8ad4e2d9bff,15
8c2a8ac602521ff,15
8c2a8a8928431ff,0
8c2a8ad4ab4a3ff,2
8c2a8ad4b684bff,0
8c2a8ac656953ff,5
8c2a8ac603607ff,5
8c2a8ad4a1a23ff,15
8c2a8ac62c0b3ff,15
8c2a8ac6024bbff,15
8c2a8ac6010abff,15
8c2a8ac6cda6bff,3
8c2a8ac65b5cdff,0
8c2a8ac628da5ff,15
8c2a8a892ac27ff,1
8c2a8ad4b6919ff,8
8c2a8ac666509ff,15
8c2a8ad4a44c5ff,15
8c2a8ac61d763ff,5
8c2a8a89231b5ff,0
8c2a8ac6642edff,15
8c2a8ac607b2dff,15
8c2a8ad4b603bff,0
8c2a8ad59b1a9ff,15
8c2a8ad59b1a9ff,2
8c2a8ad4a535bff,15
8c2a8ac61c437ff,3
8c2a8ac6158a9ff,15
8c2a8a8928c33ff,0
8c2a8ac628ac1ff,15
8c2a8ac6cad37ff,10
8c2a8ac6425b1ff,0
8c2a8ac66c70bff,15
8c2a8ac6cced3ff,15
8c2a8ac664dabff,15
8c2a8ac655a53ff,5
8c2a8ad4b51e5ff,2
8c2a8ad59a049ff,2
8c2a8ac6c3317ff,2
8c2a8ac612b65ff,15
8c2a8ac6485cdff,2
8c2a8a8923933ff,3
8c2a8ad4aad63ff,0
8c2a8ac6566c1ff,5
8c2a8ac659903ff,0
8c2a8ac600263ff,15
8c2a8ac654d49ff,5
8c2a8ad4ad89bff,15
8c2a8ac63d2a1ff,2
8c2a8ac6386a1ff,15
