region_id,cluster
8a2a8ac60557fff,14
8a2a8ad4bca7fff,7
8a2a8ad4869ffff,7
8a2a8ad4a15ffff,5
8a2a8ac6c0cffff,0
8a2a8ac60167fff,9
8a2a8ac60c57fff,-1
8a2a8ac604c7fff,4
8a2a8ac65d8ffff,23
8a2a8ac60aaffff,9
8a2a8ac6506ffff,7
8a2a8ac619b7fff,9
8a2a8a8964dffff,-1
8a2a8ac64a77fff,23
8a2a8ad59ae7fff,4
8a2a8ac65daffff,23
8a2a8ac61ab7fff,0
8a2a8ac65db7fff,23
8a2a8ac6392ffff,24
8a2a8ac60c0ffff,-1
8a2a8ac6300ffff,3
8a2a8ad5b31ffff,3
8a2a8ac62aa7fff,-1
8a2a8ac64d17fff,25
8a2a8ad4a70ffff,5
8a2a8ad59ac7fff,4
8a2a8ac61387fff,5
8a2a8ad4854ffff,7
8a2a8ad485affff,4
8a2a8ad5b74ffff,3
8a2a8a893487fff,0
8a2a8ac6102ffff,-1
8a2a8ac657b7fff,9
8a2a8ac6119ffff,14
8a2a8ad5960ffff,4
8a2a8ad4ab47fff,7
8a2a8ad4b527fff,-1
8a2a8a89252ffff,-1
8a2a8ac666e7fff,4
8a2a8ac64b27fff,11
8a2a8ad4a34ffff,-1
8a2a8ac6192ffff,9
8a2a8ac60657fff,-1
8a2a8a89266ffff,7
8a2a8ac63947fff,-1
8a2a8ac63ce7fff,18
8a2a8ac654e7fff,9
8a2a8ac64ab7fff,11
8a2a8ad48517fff,-1
8a2a8a892567fff,-1
8a2a8ad4a61ffff,5
8a2a8ac62a4ffff,5
8a2a8ac6639ffff,4
8a2a8a8934f7fff,0
8a2a8ac61b27fff,0
8a2a8a896777fff,7
8a2a8ac6570ffff,9
8a2a8ac60aa7fff,9
8a2a8ac6402ffff,11
8a2a8ac64c97fff,-1
8a2a8ac65057fff,-1
8a2a8a89211ffff,7
8a2a8ac6c777fff,0
8a2a8ac6c137fff,3
8a2a8ad59b4ffff,26
8a2a8a89229ffff,0
8a2a8ac609a7fff,9
8a2a8a8962d7fff,3
8a2a8a89240ffff,3
8a2a8ac65d2ffff,7
8a2a8ac600d7fff,-1
8a2a8ad59067fff,-1
8a2a8a893087fff,3
8a2a8ad4b557fff,-1
8a2a8ac6ed27fff,4
8a2a8ac64737fff,-1
8a2a8a8928a7fff,7
8a2a8a8922cffff,0
8a2a8ac6405ffff,7
8a2a8ac66c57fff,3
8a2a8a8924a7fff,-1
8a2a8a8937a7fff,0
8a2a8ac62947fff,-1
8a2a8ac64baffff,11
8a2a8ac61077fff,-1
8a2a8ac64c07fff,5
8a2a8ac64187fff,8
8a2a8ac61977fff,9
8a2a8ad4a72ffff,-1
8a2a8a8962effff,3
8a2a8ad4b097fff,7
8a2a8ac66597fff,3
8a2a8a893617fff,0
8a2a8ad4b217fff,29
8a2a8ac641affff,8
8a2a8ac6025ffff,6
8a2a8ac63307fff,-1
8a2a8ad4a6a7fff,5
8a2a8ac66197fff,-1
8a2a8ac60617fff,-1
8a2a8ac6ddaffff,-1
8a2a8ac61a8ffff,0
8a2a8ac63b87fff,13
8a2a8ac65237fff,23
8a2a8a896ad7fff,3
8a2a8ad4a627fff,4
8a2a8a892017fff,27
8a2a8ac6358ffff,-1
8a2a8ad5b2a7fff,3
8a2a8ac606c7fff,24
8a2a8ac75b27fff,3
8a2a8a892477fff,-1
8a2a8a892baffff,3
8a2a8ac65357fff,7
8a2a8ad4aa67fff,7
8a2a8a892d8ffff,-1
8a2a8a8928dffff,7
8a2a8ac62b6ffff,14
8a2a8ac6c89ffff,3
8a2a8ad59607fff,4
8a2a8ac66157fff,15
8a2a8ac631affff,3
8a2a8ad4a62ffff,4
8a2a8a89201ffff,-1
8a2a8ac63a77fff,5
8a2a8ac64637fff,4
8a2a8ac659affff,-1
8a2a8ac6154ffff,14
8a2a8ac66b27fff,4
8a2a8ad4bc97fff,7
8a2a8ac61467fff,13
8a2a8ac65cd7fff,9
8a2a8a896207fff,3
8a2a8ac62b57fff,4
8a2a8ad4bcdffff,-1
8a2a8ac6cd2ffff,0
8a2a8ac64a5ffff,-1
8a2a8a89351ffff,3
8a2a8ad59acffff,1
8a2a8ad486cffff,3
8a2a8ac641b7fff,8
8a2a8ad4a95ffff,-1
8a2a8ac6581ffff,23
8a2a8ad4b21ffff,-1
8a2a8a89290ffff,3
8a2a8ac6041ffff,5
8a2a8ac60827fff,9
8a2a8a893787fff,0
8a2a8ad4aaaffff,34
8a2a8ac617a7fff,13
8a2a8ad4a877fff,3
8a2a8ac63aa7fff,13
8a2a8ad59357fff,5
8a2a8ac6568ffff,9
8a2a8ad59a67fff,5
8a2a8ad4a187fff,5
8a2a8ac64cc7fff,5
8a2a8ac602e7fff,6
8a2a8ad4bce7fff,8
8a2a8a89260ffff,0
8a2a8a892b17fff,3
8a2a8ac656f7fff,9
8a2a8ac65997fff,20
8a2a8ac65c9ffff,-1
8a2a8ac66847fff,4
8a2a8ac6532ffff,7
8a2a8ac635b7fff,18
8a2a8a896297fff,3
8a2a8ac62177fff,4
8a2a8ac63337fff,4
8a2a8ac602a7fff,6
8a2a8ac60a9ffff,9
8a2a8a89650ffff,7
8a2a8ac64a8ffff,7
8a2a8ad4e277fff,3
8a2a8ac62b17fff,4
8a2a8ac66287fff,5
8a2a8ad5916ffff,4
8a2a8ac65987fff,-1
8a2a8ad4a84ffff,7
8a2a8a8922affff,0
8a2a8ac650a7fff,9
8a2a8ad48597fff,4
8a2a8ac65b6ffff,28
8a2a8ac62a37fff,4
8a2a8a89225ffff,3
8a2a8a8934dffff,0
8a2a8ad4a607fff,4
8a2a8ac60957fff,9
8a2a8ad5b287fff,3
8a2a8ad48727fff,7
8a2a8ac66b57fff,3
8a2a8ad4b5a7fff,11
8a2a8ac618f7fff,0
8a2a8ac66717fff,5
8a2a8ac6410ffff,11
8a2a8ad5d26ffff,3
8a2a8ac60137fff,-1
8a2a8ad5bb5ffff,3
8a2a8ac6469ffff,7
8a2a8ad4856ffff,7
8a2a8a8923affff,0
8a2a8ac66d1ffff,3
8a2a8ac64d47fff,4
8a2a8ac60977fff,-1
8a2a8ac63b37fff,5
8a2a8ac6294ffff,14
8a2a8ac62b47fff,4
8a2a8ac61637fff,3
8a2a8ac63897fff,4
8a2a8ac607affff,-1
8a2a8ac6296ffff,-1
8a2a8ac75b1ffff,3
8a2a8ad5b257fff,3
8a2a8ad4808ffff,7
8a2a8ac65107fff,-1
8a2a8ad4a44ffff,4
8a2a8ac639a7fff,24
8a2a8ac60a97fff,9
8a2a8a89622ffff,3
8a2a8ac65637fff,9
8a2a8ac654affff,9
8a2a8ac66617fff,5
8a2a8ad5920ffff,5
8a2a8ac66a5ffff,7
8a2a8ac66d6ffff,26
8a2a8a893737fff,0
8a2a8ac6544ffff,9
8a2a8ad4ad5ffff,5
8a2a8ad4b707fff,-1
8a2a8ac65ab7fff,-1
8a2a8a8936d7fff,19
8a2a8ac6132ffff,4
8a2a8ac66077fff,15
8a2a8ad4b647fff,3
8a2a8a8922dffff,0
8a2a8ac662f7fff,14
8a2a8a893407fff,0
8a2a8ac61d07fff,9
8a2a8a892d47fff,7
8a2a8ac64a9ffff,7
8a2a8ac61d6ffff,9
8a2a8ac6400ffff,11
8a2a8ac66c67fff,3
8a2a8ac61c8ffff,9
8a2a8ac66a8ffff,15
8a2a8ad4e6dffff,3
8a2a8ac6c14ffff,16
8a2a8ad4aab7fff,34
8a2a8ac66997fff,4
8a2a8ac6421ffff,7
8a2a8ac640b7fff,-1
8a2a8a893547fff,0
8a2a8ac644a7fff,26
8a2a8ac66b17fff,4
8a2a8ac64c67fff,21
8a2a8a89299ffff,7
8a2a8ac63467fff,5
8a2a8ac64337fff,7
8a2a8a8926d7fff,0
8a2a8ad4a527fff,3
8a2a8ac60bb7fff,9
8a2a8ac61477fff,-1
8a2a8ac6231ffff,-1
8a2a8ac603b7fff,6
8a2a8ac62247fff,18
8a2a8ad48697fff,-1
8a2a8ac65077fff,-1
8a2a8ac6215ffff,4
8a2a8ac648c7fff,-1
8a2a8a892cdffff,-1
8a2a8ad4e74ffff,3
8a2a8ac65c27fff,23
8a2a8ad4e38ffff,8
8a2a8ad48547fff,-1
8a2a8ad5b747fff,3
8a2a8a893507fff,3
8a2a8ad5905ffff,-1
8a2a8ad4bcf7fff,11
8a2a8ac6696ffff,-1
8a2a8ad4b88ffff,8
8a2a8ac653a7fff,-1
8a2a8ac65d67fff,3
8a2a8a892b87fff,22
8a2a8ac66c0ffff,3
8a2a8a892ac7fff,7
8a2a8ac61557fff,3
8a2a8ac6cb57fff,0
8a2a8ac64027fff,11
8a2a8ac66b8ffff,3
8a2a8ad4845ffff,7
8a2a8ad48687fff,7
8a2a8ad4b687fff,-1
8a2a8a8936a7fff,0
8a2a8ac6c02ffff,7
8a2a8a8964a7fff,7
8a2a8ac6168ffff,4
8a2a8ac6584ffff,-1
8a2a8a896d97fff,-1
8a2a8ad4b58ffff,-1
8a2a8a892147fff,7
8a2a8ac635affff,-1
8a2a8ac65b77fff,28
8a2a8ac62d4ffff,4
8a2a8a896cb7fff,-1
8a2a8ac615a7fff,-1
8a2a8ac64377fff,-1
8a2a8ac6404ffff,7
8a2a8ac61777fff,13
8a2a8ac6514ffff,-1
8a2a8a896217fff,3
8a2a8a89214ffff,7
8a2a8ac609b7fff,-1
8a2a8ac6414ffff,11
8a2a8a893db7fff,3
8a2a8ac6598ffff,-1
8a2a8ad5b2e7fff,3
8a2a8ac63077fff,3
8a2a8ac60267fff,-1
8a2a8ac6c8c7fff,16
8a2a8ac616a7fff,3
8a2a8ac6486ffff,11
8a2a8ac6c087fff,3
